experiment_id,dimension_tested,family,is_anchor,sample_scope,lookback_window_days,max_total_crypto_weight,rebalance_frequency,covariance_method,cost_bps,cost_rate,ann_return_gross,ann_volatility_gross,sharpe_gross,max_drawdown_gross,calmar_gross,ann_return_net,ann_volatility_net,sharpe_net,max_drawdown_net,calmar_net,cumulative_cost,oos_start,oos_end,n_oos_days,n_rebalances
crypto_cap_0_25,crypto_cap,crypto_cap,False,native,252,0.25,monthly,sample,0.0,0.0,0.08317627256350701,0.08941717902701163,0.9302046146902115,-0.23332513414620537,0.3564822661213489,0.08317627256350701,0.08941717902701163,0.9302046146902115,-0.23332513414620537,0.3564822661213489,0.0,2018-10-01,2026-05-02,2771,92
crypto_cap_0_25,crypto_cap,crypto_cap,False,native,252,0.25,monthly,sample,10.0,0.001,0.08317627256350701,0.08941717902701163,0.9302046146902115,-0.23332513414620537,0.3564822661213489,0.08289278306198766,0.08941669828105281,0.9270391845764725,-0.23348995119373506,0.3550164905949572,0.0028796284261910334,2018-10-01,2026-05-02,2771,92
crypto_cap_0_25,crypto_cap,crypto_cap,False,native,252,0.25,monthly,sample,25.0,0.0025,0.08317627256350701,0.08941717902701163,0.9302046146902115,-0.23332513414620537,0.3564822661213489,0.08246764638927573,0.08941639904938896,0.9222877152962166,-0.23373712047794892,0.35282220564985456,0.007199071065477584,2018-10-01,2026-05-02,2771,92
crypto_cap_0_25,crypto_cap,crypto_cap,False,native,252,0.25,monthly,sample,50.0,0.005,0.08317627256350701,0.08941717902701163,0.9302046146902115,-0.23332513414620537,0.3564822661213489,0.08175934539832297,0.08941702536992245,0.9143599338054549,-0.23414891922444359,0.3491766934869022,0.014398142130955168,2018-10-01,2026-05-02,2771,92
rebalance_monthly,rebalance_frequency,rebalance,False,native,252,0.2,monthly,sample,0.0,0.0,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.0,2018-10-01,2026-05-02,2771,92
rebalance_monthly,rebalance_frequency,rebalance,False,native,252,0.2,monthly,sample,10.0,0.001,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.08289271912714224,0.0894167073382878,0.9270383756531816,-0.23348995119373506,0.35501621677227196,0.002879624981975352,2018-10-01,2026-05-02,2771,92
rebalance_monthly,rebalance_frequency,rebalance,False,native,252,0.2,monthly,sample,25.0,0.0025,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.082467582979048,0.08941640819855405,0.9222869117704235,-0.23373712047794892,0.3528219343612051,0.00719906245493838,2018-10-01,2026-05-02,2771,92
rebalance_monthly,rebalance_frequency,rebalance,False,native,252,0.2,monthly,sample,50.0,0.005,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.0817592828618472,0.08941703466930882,0.9143591393319818,-0.23414891922444359,0.34917642640697727,0.01439812490987676,2018-10-01,2026-05-02,2771,92
rebalance_quarterly,rebalance_frequency,rebalance,False,native,252,0.2,quarterly,sample,0.0,0.0,0.08382753056845593,0.09043569629021962,0.9269296749752747,-0.23630892581194052,0.35473704719544785,0.08382753056845593,0.09043569629021962,0.9269296749752747,-0.23630892581194052,0.35473704719544785,0.0,2018-10-01,2026-05-02,2771,31
rebalance_quarterly,rebalance_frequency,rebalance,False,native,252,0.2,quarterly,sample,10.0,0.001,0.08382753056845593,0.09043569629021962,0.9269296749752747,-0.23630892581194052,0.35473704719544785,0.08361505616299691,0.09043508925190712,0.9245864282843467,-0.23642341034344994,0.35366656813523734,0.002157178230207217,2018-10-01,2026-05-02,2771,31
