experiment_id,dimension_tested,family,is_anchor,sample_scope,lookback_window_days,max_total_crypto_weight,rebalance_frequency,covariance_method,cost_bps,cost_rate,ann_return_gross,ann_volatility_gross,sharpe_gross,max_drawdown_gross,calmar_gross,ann_return_net,ann_volatility_net,sharpe_net,max_drawdown_net,calmar_net,cumulative_cost,oos_start,oos_end,n_oos_days,n_rebalances,family_common_start,family_common_end
lookback_252,lookback,lookback,False,common_family,252,0.2,monthly,sample,25.0,0.0025,0.10353907798777806,0.11296387218311697,0.9165680671776096,-0.2341497943394758,0.4421916247240632,0.10263257023740202,0.11295545662025333,0.9086109986031399,-0.23440634793906512,0.43784040466379254,0.005398790127202664,2020-01-01,2026-05-01,1653,77,2020-01-01,2026-05-01
lookback_252,lookback,lookback,False,common_family,252,0.2,monthly,sample,50.0,0.005,0.10353907798777806,0.11296387218311697,0.9165680671776096,-0.2341497943394758,0.4421916247240632,0.10172665368820133,0.1129482483756445,0.900648351357143,-0.2346628270097726,0.4335013559005871,0.010797580254405328,2020-01-01,2026-05-01,1653,77,2020-01-01,2026-05-01
lookback_504,lookback,lookback,False,common_family,504,0.2,monthly,sample,0.0,0.0,0.09611188442477303,0.11154896116213107,0.8616116494807963,-0.23088240293579765,0.4162806831644906,0.09611188442477303,0.11154896116213107,0.8616116494807963,-0.23088240293579765,0.4162806831644906,0.0,2020-01-01,2026-05-01,1653,77,2020-01-01,2026-05-01
lookback_504,lookback,lookback,False,common_family,504,0.2,monthly,sample,10.0,0.001,0.09611188442477303,0.11154896116213107,0.8616116494807963,-0.23088240293579765,0.4162806831644906,0.0959002478992601,0.11154660644037068,0.8597325455214576,-0.2310350378956112,0.4150896278450666,0.0012687885458775782,2020-01-01,2026-05-01,1653,77,2020-01-01,2026-05-01
lookback_504,lookback,lookback,False,common_family,504,0.2,monthly,sample,25.0,0.0025,0.09611188442477303,0.11154896116213107,0.8616116494807963,-0.23088240293579765,0.4162806831644906,0.09558285912967124,0.11154315869598003,0.8569136847755057,-0.23126394245527082,0.41330636378024255,0.003171971364693945,2020-01-01,2026-05-01,1653,77,2020-01-01,2026-05-01
lookback_504,lookback,lookback,False,common_family,504,0.2,monthly,sample,50.0,0.005,0.09611188442477303,0.11154896116213107,0.8616116494807963,-0.23088240293579765,0.4162806831644906,0.09505405385493737,0.11153763738033184,0.852215055719827,-0.2316453224042867,0.41034307478499876,0.00634394272938789,2020-01-01,2026-05-01,1653,77,2020-01-01,2026-05-01
rebalance_monthly,rebalance_frequency,rebalance,False,common_family,252,0.2,monthly,sample,0.0,0.0,0.11809890264099754,0.10774404251620649,1.0961061037155118,-0.23414979433947725,0.504373292208723,0.11809890264099754,0.10774404251620649,1.0961061037155118,-0.23414979433947725,0.504373292208723,0.0,2019-01-01,2026-05-01,1914,89,2019-01-01,2026-05-01
rebalance_monthly,rebalance_frequency,rebalance,False,common_family,252,0.2,monthly,sample,10.0,0.001,0.11809890264099754,0.10774404251620649,1.0961061037155118,-0.23414979433947725,0.504373292208723,0.11775181251141453,0.10774148477475672,1.0929106161622453,-0.23425242472396657,0.5026706240081332,0.002361233195271971,2019-01-01,2026-05-01,1914,89,2019-01-01,2026-05-01
rebalance_monthly,rebalance_frequency,rebalance,False,common_family,252,0.2,monthly,sample,25.0,0.0025,0.11809890264099754,0.10774404251620649,1.0961061037155118,-0.23414979433947725,0.504373292208723,0.11723133777404438,0.10773798630568646,1.0881151745441233,-0.23440634793906723,0.5001201494957725,0.005903082988179927,2019-01-01,2026-05-01,1914,89,2019-01-01,2026-05-01
rebalance_monthly,rebalance_frequency,rebalance,False,common_family,252,0.2,monthly,sample,50.0,0.005,0.11809890264099754,0.10774404251620649,1.0961061037155118,-0.23414979433947725,0.504373292208723,0.11636430760775807,0.10773305733362368,1.0801170085371796,-0.2346628270097737,0.49587874266473186,0.011806165976359854,2019-01-01,2026-05-01,1914,89,2019-01-01,2026-05-01
rebalance_quarterly,rebalance_frequency,rebalance,False,common_family,252,0.2,quarterly,sample,0.0,0.0,0.12028683288704878,0.10852146724139924,1.1084150992861,-0.23641285599249828,0.5087998805397692,0.12028683288704878,0.10852146724139924,1.1084150992861,-0.23641285599249828,0.5087998805397692,0.0,2019-01-01,2026-05-01,1914,30,2019-01-01,2026-05-01
rebalance_quarterly,rebalance_frequency,rebalance,False,common_family,252,0.2,quarterly,sample,10.0,0.001,0.12028683288704878,0.10852146724139924,1.1084150992861,-0.23641285599249828,0.5087998805397692,0.1200351874396488,0.10851998430763557,1.1061113600917007,-0.23647286092839603,0.5076066106207234,0.0017082632881217758,2019-01-01,2026-05-01,1914,30,2019-01-01,2026-05-01
rebalance_quarterly,rebalance_frequency,rebalance,False,common_family,252,0.2,quarterly,sample,25.0,0.0025,0.12028683288704878,0.10852146724139924,1.1084150992861,-0.23641285599249828,0.5087998805397692,0.11965777025578705,0.10851820950749075,1.1026515346949892,-0.23656286189994336,0.505818070067133,0.00427065822030444,2019-01-01,2026-05-01,1914,30,2019-01-01,2026-05-01
rebalance_quarterly,rebalance_frequency,rebalance,False,common_family,252,0.2,quarterly,sample,50.0,0.005,0.12028683288704878,0.10852146724139924,1.1084150992861,-0.23641285599249828,0.5087998805397692,0.11902887756036074,0.10851645050231298,1.0968740408425328,-0.2367128463674565,0.5028408022080416,0.00854131644060888,2019-01-01,2026-05-01,1914,30,2019-01-01,2026-05-01
