rebalance_date,experiment_id,dimension_tested,family,lookback_window_days,max_total_crypto_weight,rebalance_frequency,covariance_method,turnover_one_way,is_initial_rebalance,n_assets_changed,max_abs_weight_change
2021-07-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.021960011993556745,False,5,0.01825142698770138
2021-08-02,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.004367193086642882,False,5,0.002577530059970412
2021-09-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.012550176932530936,False,5,0.007045084220609288
2021-10-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.019397557487244598,False,5,0.015746701634080276
2021-11-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.02501713450381942,False,5,0.0198065423422669
2021-12-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.015717664447079817,False,5,0.014582619942397845
2022-01-03,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.048187599689845366,False,5,0.038534902177233654
2022-02-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.005494184237907639,False,5,0.0054367529973297635
2022-03-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.015313936713998565,False,5,0.012569439284326633
2022-04-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.017375315951452152,False,5,0.01335432802559916
2022-05-02,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.010693181454613915,False,5,0.010693181454613914
2022-06-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.01881655201549242,False,4,0.018645863494179682
2022-07-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.007887803739270461,False,3,0.00788780373927045
2022-08-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.029597026104588767,False,3,0.029597026104588697
2022-09-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.003350202966283247,False,3,0.003350202966283189
2022-10-03,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.014235939088165653,False,3,0.014235939088165617
2022-11-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.036068176462617375,False,3,0.036068176462617396
2022-12-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.0044341139752111045,False,3,0.004434113975211096
2023-01-02,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.01619008337628905,False,3,0.016190083376288966
2023-02-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.0035007245130109343,False,3,0.003500724513010922
2023-03-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.005695718185122206,False,3,0.005695718185122101
2023-04-03,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.007755367257258375,False,3,0.007755367257258394
2023-05-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.009272829390104632,False,3,0.009272829390104653
2023-06-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.01548156211491411,False,3,0.015481562114914138
2023-07-03,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.012651105018236936,False,3,0.012651105018236908
2023-08-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.009699548933457983,False,3,0.009699548933457924
2023-09-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.008613942670560381,False,3,0.008613942670560426
2023-10-02,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.011229829899665053,False,4,0.011229829899665008
2023-11-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.06869276037616559,False,5,0.05610038823809033
2023-12-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.030389033893356093,False,6,0.02260688158520585
2024-01-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.04196727371753546,False,6,0.03982100256519669
2024-02-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.02378811678492971,False,6,0.013202070651397673
2024-03-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.016731430408598827,False,6,0.009445242905870566
2024-04-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.023513538851973215,False,6,0.017836454599580776
2024-05-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.04415541320085568,False,5,0.03112273725030451
2024-06-03,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.013448446230692176,False,5,0.008899319901916725
2024-07-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.014713841422150467,False,5,0.007853608037193274
2024-08-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.03061342627324795,False,5,0.02232245055564132
2024-09-02,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.037722099137012466,False,5,0.037722099137012466
2024-10-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.05790209547400088,False,5,0.054221860126306975
2024-11-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.0779253751675614,False,5,0.0673915413659667
2024-12-02,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.020364434925557166,False,5,0.012509745524194704
2025-01-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.011904016348386741,False,5,0.010813973110427033
2025-02-03,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.013580376184215214,False,5,0.010370403675657173
2025-03-03,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.01940653342555668,False,5,0.012844342752011184
2025-04-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.023892284781662554,False,5,0.019586815624874077
2025-05-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.06822648237716675,False,5,0.05684564418250865
2025-06-02,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.02665272423868358,False,4,0.026652724238683534
2025-07-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.007372365793159782,False,4,0.0073723657931598074
2025-08-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.007546023960078368,False,4,0.007042117639987022
2025-09-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.010167056043489574,False,4,0.009648878277106254
2025-10-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.01734863826392722,False,4,0.017348638263927185
2025-11-03,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.03456243665496643,False,4,0.03146907235199753
2025-12-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.016150311029810193,False,4,0.011402181192901817
2026-01-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.01930441864948168,False,4,0.019304418649481625
2026-02-02,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.06876344094411041,False,5,0.06876344094411041
2026-03-02,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.06677749663696275,False,5,0.05291551042685367
2026-04-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.09167620026232222,False,4,0.09167620026232218
2026-05-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.04041947498768718,False,4,0.023564709927001923
2019-01-01,covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,252,0.0,monthly,ledoit_wolf,0.0,True,0,0.0
2019-02-01,covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,252,0.0,monthly,ledoit_wolf,0.012927121606595681,False,3,0.012927121606595648
2019-03-01,covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,252,0.0,monthly,ledoit_wolf,0.008867629640110822,False,3,0.008867629640110786
2019-04-01,covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,252,0.0,monthly,ledoit_wolf,0.0124896301029256,False,3,0.01248963010292553
2019-05-01,covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,252,0.0,monthly,ledoit_wolf,0.011333178485673286,False,3,0.011333178485673168
2019-06-03,covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,252,0.0,monthly,ledoit_wolf,0.022175502522925883,False,4,0.0198845606489626
2019-07-01,covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,252,0.0,monthly,ledoit_wolf,0.020225111127001937,False,4,0.014223811194837677
2019-08-01,covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,252,0.0,monthly,ledoit_wolf,0.00821705902398529,False,4,0.007167690452486497
2019-09-02,covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,252,0.0,monthly,ledoit_wolf,0.033160114814252954,False,3,0.03315915332208724
2019-10-01,covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,252,0.0,monthly,ledoit_wolf,0.023547360892719464,False,4,0.019205902107787144
2019-11-01,covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,252,0.0,monthly,ledoit_wolf,0.040256412834813085,False,4,0.03217421514887311
2019-12-02,covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,252,0.0,monthly,ledoit_wolf,0.02685940831941238,False,4,0.02460206738764717
2020-01-01,covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,252,0.0,monthly,ledoit_wolf,0.04707550521108718,False,4,0.03744530824860395
2020-02-03,covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,252,0.0,monthly,ledoit_wolf,0.023916010627141677,False,4,0.02313511735519358
2020-03-02,covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,252,0.0,monthly,ledoit_wolf,0.013233534039574274,False,4,0.010086409693310872
