target_col,model_name,bucket,mean_pred,mean_realized,n
target_portfolio_vol_21d,ewma,4,0.15862608247229584,0.15774967997495032,643
target_portfolio_vol_21d,naive_rolling_vol,0,0.07291616590458291,0.074304333175563,643
target_portfolio_vol_21d,naive_rolling_vol,1,0.0866559721734327,0.0871426325860768,642
target_portfolio_vol_21d,naive_rolling_vol,2,0.09757146793415675,0.09742466387416063,643
target_portfolio_vol_21d,naive_rolling_vol,3,0.11387894763228593,0.1134320215325404,643
target_portfolio_vol_21d,naive_rolling_vol,4,0.1632487808374473,0.162273919249103,642
target_portfolio_vol_21d,random_forest,0,0.07486060005641922,0.07435682470362825,643
target_portfolio_vol_21d,random_forest,1,0.08705777978298486,0.0871824412914761,643
target_portfolio_vol_21d,random_forest,2,0.09688521301174362,0.09768914636113908,642
target_portfolio_vol_21d,random_forest,3,0.11462850988284361,0.11395177982165443,642
target_portfolio_vol_21d,random_forest,4,0.15103787516030714,0.1613386292105376,643
target_portfolio_vol_21d,ridge,0,0.07385069876917724,0.0755459663706877,643
target_portfolio_vol_21d,ridge,1,0.08721330714427172,0.08774064693448333,642
target_portfolio_vol_21d,ridge,2,0.09765596940480858,0.09645911840368954,643
target_portfolio_vol_21d,ridge,3,0.11479953149645848,0.11361176896558907,642
target_portfolio_vol_21d,ridge,4,0.15798171291550872,0.16114531992038905,643
target_portfolio_vol_63d,elastic_net,0,0.08092947271377546,0.08097750800014275,618
target_portfolio_vol_63d,elastic_net,1,0.09247653954990163,0.09258351125296697,617
target_portfolio_vol_63d,elastic_net,2,0.10188555645434534,0.10183038717457696,617
target_portfolio_vol_63d,elastic_net,3,0.11789695625130749,0.11835136457608551,617
target_portfolio_vol_63d,elastic_net,4,0.148578126719983,0.15011337721514878,618
target_portfolio_vol_63d,ewma,0,0.08165177500944254,0.08203510046760548,618
target_portfolio_vol_63d,ewma,1,0.09251596141117695,0.09282150541083484,617
target_portfolio_vol_63d,ewma,2,0.1018695820436007,0.10196834611141486,617
target_portfolio_vol_63d,ewma,3,0.11782204529061073,0.11814020903654256,617
target_portfolio_vol_63d,ewma,4,0.14893898994275837,0.14889125385523383,618
target_portfolio_vol_63d,naive_rolling_vol,0,0.08071912486427088,0.08097325677967535,618
target_portfolio_vol_63d,naive_rolling_vol,1,0.09250503908384691,0.09257997166858137,617
target_portfolio_vol_63d,naive_rolling_vol,2,0.10188343361885849,0.10186373853960493,619
target_portfolio_vol_63d,naive_rolling_vol,3,0.11840478454950516,0.1184833411750479,616
target_portfolio_vol_63d,naive_rolling_vol,4,0.15023732465307088,0.15006098347988736,617
target_portfolio_vol_63d,random_forest,0,0.0828284492695608,0.08103209135910579,618
target_portfolio_vol_63d,random_forest,1,0.09274868059131898,0.09262077847107202,617
target_portfolio_vol_63d,random_forest,2,0.10206306880453087,0.10184977753382649,617
target_portfolio_vol_63d,random_forest,3,0.11589137120743571,0.11930107198871288,617
target_portfolio_vol_63d,random_forest,4,0.13967684044394416,0.14905405728851767,618
target_portfolio_vol_63d,ridge,0,0.08109068200295819,0.08104215195501555,618
target_portfolio_vol_63d,ridge,1,0.09254833416000963,0.09258430341594315,617
target_portfolio_vol_63d,ridge,2,0.10153309541982723,0.1017789980310218,617
target_portfolio_vol_63d,ridge,3,0.11759924977977909,0.11838135879735877,617
