rebalance_date,strategy,objective,beta,max_total_crypto_weight,turnover_one_way,is_initial_rebalance,n_assets_changed,max_abs_weight_change
2023-01-02,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.016190083376288994,False,3,0.016190083376288966
2023-02-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.003500724513010922,False,3,0.003500724513010922
2023-03-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.005695718185122212,False,3,0.005695718185122267
2023-04-03,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.0077553672572583665,False,3,0.00775536725725845
2023-05-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.0020753663614550832,False,3,0.002075366361455111
2023-06-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.004582955299853808,False,3,0.004582955299853808
2023-07-03,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.015558090329077595,False,3,0.015558090329077623
2023-08-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.01190491836313673,False,3,0.011904918363136674
2023-09-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.00269703087344747,False,3,0.00269703087344747
2023-10-02,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.04175408470792846,False,3,0.04175408470792846
2023-11-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.029517629575264617,False,4,0.025122282847142574
2023-12-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.015030042043363636,False,4,0.014865204203017124
2024-01-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.03520081692477525,False,4,0.03520081692477528
2024-02-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.00812581524832946,False,4,0.007219461912845393
2024-03-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.07443787933942031,False,4,0.07037034693040711
2024-04-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.01406512449829489,False,4,0.01406512449829489
2024-05-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.0532444713904478,False,4,0.046202550864854086
2024-06-03,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.007437633555948724,False,4,0.006213935754116995
2024-07-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.0854786842427362,False,4,0.08547868424273625
2024-08-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.08203481679060828,False,4,0.08203481679060824
2024-09-02,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.07742772647510852,False,4,0.07738236923387037
2024-10-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.056695985909615276,False,3,0.056695985909615276
2024-11-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.07284914173490667,False,4,0.07271006360400989
2024-12-02,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.014116568947890717,False,4,0.012952971055766316
